year,towns_suburbs,value
2016,Dublin City and suburbs,422354
2016,Cork City and suburbs,72747
2016,Limerick City and suburbs,28543
2016,Galway City and suburbs,27836
2016,Waterford City and suburbs,16610
2016,"Towns 1,500 population and over",1018138
2016,Drogheda,13062
2016,Dundalk,11594
2016,Swords,16030
2016,Bray,11418
2016,Navan (An Uaimh),9823
2016,Ennis,8472
2016,Kilkenny,9059
2016,Tralee,6625
2016,Carlow,6765
2016,Droichead Nua,7863
2016,Naas,8516
2016,Athlone,6609
2016,Portlaoise,6391
2016,Mullingar,6392
2016,Wexford,6386
2016,Balbriggan,6733
2016,Letterkenny,6422
2016,Celbridge,7937
2016,Sligo,5664
2016,Clonmel,5553
2016,Greystones,6661
2016,Malahide,6289
2016,Leixlip,6049
2016,Carrigaline,5997
2016,Tullamore,4312
2016,Killarney,4377
2016,Arklow,3849
2016,Maynooth,5430
2016,Cobh,4308
2016,Castlebar,3940
2016,Midleton,4286
2016,Mallow,3864
2016,Ashbourne,4960
2016,Ballina,2967
2016,Laytown-Bettystown-Mornington,3815
2016,Enniscorthy,2996
2016,Wicklow,3624
2016,Tramore,3320
2016,Cavan,3193
2016,Athy,2436
2016,Shannon,3570
2016,Skerries,3580
2016,Longford,2434
2016,Dungarvan,2701
2016,Portmarnock,3482
2016,Rush,3560
2016,Gorey,2999
2016,Ratoath,3585
2016,Nenagh,2715
2016,Trim,3033
2016,Tuam,2634
2016,New Ross,2307
2016,Kildare,2807
2016,Thurles,2254
2016,Youghal,2336
2016,Portarlington,2462
2016,Monaghan,2620
2016,Lusk,2935
2016,Edenderry,2162
2016,Dunboyne,2737
2016,Buncrana,1812
2016,Donabate,2895
2016,Clane,2768
2016,Ballinasloe,1755
2016,Bandon,2354
2016,Fermoy,2172
2016,Newcastle West,2076
2016,Westport,2129
2016,Carrick-on-Suir,1427
2016,Kells (Ceanannas),1862
2016,Birr,1214
2016,Kinsealy-Drinan,2965
2016,Passage West,2167
2016,Roscommon,1818
2016,Kilcock,2425
2016,Roscrea,1506
2016,Tipperary,1261
2016,Sallins,2377
2016,Loughrea,1816
2016,Blessington,2029
2016,Ardee,1449
2016,Carrickmacross,1699
2016,Kinsale,1713
2016,Ballybofey-Stranorlar,1275
2016,Listowel,1294
2016,Oranmore,2292
2016,Mountmellick,1218
2016,Clonakilty,1551
2016,Carrigtwohill,1992
2016,Cashel,1398
2016,Kilcoole,1559
2016,Duleek,1258
2016,Carrick-on-Shannon,1361
2016,Tullow,1404
2016,Athenry,1611
2016,Dunshaughlin,1536
2016,Macroom,1264
2016,Monasterevin,1242
2016,Mitchelstown,1127
2016,Rathluirc (or Charleville),1171
2016,Castleblayney,1020
2016,Cahir,1152
2016,Kilcullen,1301
2016,Rathcoole,1722
2016,Claremorris,1320
2016,Bantry,790
2016,Tower,1200
2016,Clara,914
2016,Stamullen,1263
2016,Kill,1325
2016,Rathnew,977
2016,Muinebeag,833
2016,Enfield,1176
2016,Courtown Harbour,866
2016,Annacotty,1203
2016,Moate,917
2016,Ballinrobe,944
2016,Kilrush,620
2016,Skibbereen,804
2016,Kinnegad,813
2016,Newcastle,1162
2016,Gort,874
2016,Donegal,803
2016,Boyle,675
2016,Ballyjamesduff,774
2016,Carndonagh,580
2016,Bailieborough,712
2016,Castleisland,777
2016,Sixmilebridge,974
2016,Ballyshannon,582
2016,Ballina (North Tipperary),944
2016,Blarney,876
2016,Newtownmountkennedy,940
2016,Athboy,764
2016,Rathangan,870
2016,Callan,808
2016,Kingscourt,809
2016,Ballyhaunis,679
2016,Virginia,821
2016,Thomastown,791
2016,Kanturk,790
2016,Prosperous,716
2016,Kenmare,707
2016,Saggart,1300
2016,Bundoran,529
2016,Cootehill,600
2016,Crosshaven,865
2016,Killorglin,728
2016,Templemore,530
2016,Baltinglass,593
2016,Clifden,476
2016,Bunclody-Carrickduff,493
2016,Abbeyfeale,518
2016,Clogherhead,668
2016,Castlerea,523
2016,An Daingean,662
2016,Castleconnell,704
2016,Bearna,756
2016,Balrothery,717
2016,Abbeyleix,502
2016,Ballaghaderreen,580
2016,Enniskerry,592
2016,Newport,658
2016,Dunleer,611
2016,Newmarket-on-Fergus,675
2016,Clones,428
2016,Tubbercurry,560
2016,Edgeworthstown,479
2016,Ballivor,505
2016,Castlebridge,625
2016,Portlaw,496
2016,Mountrath,413
2016,Lifford,338
2016,Banagher,533
2016,Kilmallock,418
2016,Strandhill,671
2016,Rathdrum,444
2016,Dunmanway,478
2016,Millstreet,563
2016,Ballymahon,544
2016,Cloyne,601
2016,Dunmore East,408
2016,Moycullen,642
2016,Rosslare,401
2016,Derrinturn,475
2016,Fethard,431
2016,Ballymote,433
2016,Rathcormac,668
2016,Collooney,547
2016,Castlemartyr,539
2016,Tullyallen,560
2016,Longwood,543
2016,Termonfeckin,518
2016,Convoy,368
2016,Castlecomer-Donaguile,409
2016,Dublin City and suburbs,382002
2016,Cork City and suburbs,60706
2016,Limerick City and suburbs,21908
2016,Galway City and suburbs,22271
2016,Waterford City and suburbs,13101
2016,"Towns 1,500 population and over",668510
2016,Drogheda,6217
2016,Dundalk,8087
2016,Swords,4128
2016,Bray,3689
2016,Navan (An Uaimh),3896
2016,Ennis,4696
2016,Kilkenny,5910
2016,Tralee,5067
2016,Carlow,3472
2016,Droichead Nua,2496
2016,Naas,2884
2016,Athlone,4930
2016,Portlaoise,3182
2016,Mullingar,3584
2016,Wexford,4691
2016,Balbriggan,1398
2016,Letterkenny,4718
2016,Celbridge,1082
2016,Sligo,4392
2016,Clonmel,3020
2016,Greystones,1284
2016,Malahide,934
2016,Leixlip,983
2016,Carrigaline,929
2016,Tullamore,2656
2016,Killarney,2793
2016,Arklow,1647
2016,Maynooth,1201
2016,Cobh,978
2016,Castlebar,2628
2016,Midleton,1324
2016,Mallow,1461
2016,Ashbourne,794
2016,Ballina,1788
2016,Laytown-Bettystown-Mornington,445
2016,Enniscorthy,1450
2016,Wicklow,1189
2016,Tramore,972
2016,Cavan,1628
2016,Athy,905
2016,Shannon,1351
2016,Skerries,690
2016,Longford,1398
2016,Dungarvan,1386
2016,Portmarnock,393
2016,Rush,643
2016,Gorey,1373
2016,Ratoath,392
2016,Nenagh,1496
2016,Trim,920
2016,Tuam,1233
2016,New Ross,1220
2016,Kildare,702
2016,Thurles,1191
2016,Youghal,1060
2016,Portarlington,578
2016,Monaghan,1162
2016,Lusk,264
2016,Edenderry,875
2016,Dunboyne,381
2016,Buncrana,1027
2016,Donabate,310
2016,Clane,391
2016,Ballinasloe,980
2016,Bandon,848
2016,Fermoy,682
2016,Newcastle West,750
2016,Westport,1454
2016,Carrick-on-Suir,543
2016,Kells (Ceanannas),459
2016,Birr,554
2016,Kinsealy-Drinan,149
2016,Passage West,249
2016,Roscommon,1063
2016,Kilcock,282
2016,Roscrea,682
2016,Tipperary,684
2016,Sallins,142
2016,Loughrea,726
2016,Blessington,462
2016,Ardee,510
2016,Carrickmacross,750
2016,Kinsale,777
2016,Ballybofey-Stranorlar,625
2016,Listowel,700
2016,Oranmore,285
2016,Mountmellick,345
2016,Clonakilty,801
2016,Carrigtwohill,174
2016,Cashel,619
2016,Kilcoole,233
2016,Duleek,157
2016,Carrick-on-Shannon,817
2016,Tullow,472
2016,Athenry,378
2016,Dunshaughlin,240
2016,Macroom,496
2016,Monasterevin,262
2016,Mitchelstown,474
2016,Rathluirc (or Charleville),526
2016,Castleblayney,371
2016,Cahir,333
2016,Kilcullen,198
2016,Rathcoole,219
2016,Claremorris,450
2016,Bantry,509
2016,Tower,99
2016,Clara,237
2016,Stamullen,108
2016,Kill,97
2016,Rathnew,117
2016,Muinebeag,392
2016,Enfield,138
2016,Courtown Harbour,139
2016,Annacotty,125
2016,Moate,192
2016,Ballinrobe,345
2016,Kilrush,375
2016,Skibbereen,476
2016,Kinnegad,122
2016,Newcastle,101
2016,Gort,362
2016,Donegal,423
2016,Boyle,340
2016,Ballyjamesduff,137
2016,Carndonagh,304
2016,Bailieborough,226
2016,Castleisland,380
2016,Sixmilebridge,90
2016,Ballyshannon,278
2016,Ballina (North Tipperary),172
2016,Blarney,152
2016,Newtownmountkennedy,159
2016,Athboy,151
2016,Rathangan,166
2016,Callan,279
2016,Kingscourt,215
2016,Ballyhaunis,381
2016,Virginia,198
2016,Thomastown,221
2016,Kanturk,256
2016,Prosperous,97
2016,Kenmare,433
2016,Saggart,77
2016,Bundoran,253
2016,Cootehill,226
2016,Crosshaven,150
2016,Killorglin,397
2016,Templemore,273
2016,Baltinglass,182
2016,Clifden,379
2016,Bunclody-Carrickduff,170
2016,Abbeyfeale,263
2016,Clogherhead,79
2016,Castlerea,249
2016,An Daingean,538
2016,Castleconnell,92
2016,Bearna,114
2016,Balrothery,43
2016,Abbeyleix,135
2016,Ballaghaderreen,141
2016,Enniskerry,93
2016,Newport,90
2016,Dunleer,153
2016,Newmarket-on-Fergus,90
2016,Clones,154
2016,Tubbercurry,197
2016,Edgeworthstown,178
2016,Ballivor,77
2016,Castlebridge,59
2016,Portlaw,59
2016,Mountrath,104
2016,Lifford,107
2016,Banagher,217
2016,Kilmallock,176
2016,Strandhill,102
2016,Rathdrum,143
2016,Dunmanway,210
2016,Millstreet,178
2016,Ballymahon,128
2016,Cloyne,54
2016,Dunmore East,199
2016,Moycullen,135
2016,Rosslare,146
2016,Derrinturn,71
2016,Fethard,114
2016,Ballymote,128
2016,Rathcormac,45
2016,Collooney,105
2016,Castlemartyr,55
2016,Tullyallen,41
2016,Longwood,34
2016,Termonfeckin,66
2016,Convoy,68
2016,Castlecomer-Donaguile,108
2016,Dublin City and suburbs,40352
2016,Cork City and suburbs,12041
2016,Limerick City and suburbs,6635
2016,Galway City and suburbs,5565
2016,Waterford City and suburbs,3509
2016,"Towns 1,500 population and over",349628
2016,Drogheda,6845
2016,Dundalk,3507
2016,Swords,11902
2016,Bray,7729
2016,Navan (An Uaimh),5927
2016,Ennis,3776
2016,Kilkenny,3149
2016,Tralee,1558
2016,Carlow,3293
2016,Droichead Nua,5367
2016,Naas,5632
2016,Athlone,1679
2016,Portlaoise,3209
2016,Mullingar,2808
2016,Wexford,1695
2016,Balbriggan,5335
2016,Letterkenny,1704
2016,Celbridge,6855
2016,Sligo,1272
2016,Clonmel,2533
2016,Greystones,5377
2016,Malahide,5355
2016,Leixlip,5066
2016,Carrigaline,5068
2016,Tullamore,1656
2016,Killarney,1584
2016,Arklow,2202
2016,Maynooth,4229
2016,Cobh,3330
2016,Castlebar,1312
2016,Midleton,2962
2016,Mallow,2403
2016,Ashbourne,4166
2016,Ballina,1179
2016,Laytown-Bettystown-Mornington,3370
2016,Enniscorthy,1546
2016,Wicklow,2435
2016,Tramore,2348
2016,Cavan,1565
2016,Athy,1531
2016,Shannon,2219
2016,Skerries,2890
2016,Longford,1036
2016,Dungarvan,1315
2016,Portmarnock,3089
2016,Rush,2917
2016,Gorey,1626
2016,Ratoath,3193
2016,Nenagh,1219
2016,Trim,2113
2016,Tuam,1401
2016,New Ross,1087
2016,Kildare,2105
2016,Thurles,1063
2016,Youghal,1276
2016,Portarlington,1884
2016,Monaghan,1458
2016,Lusk,2671
2016,Edenderry,1287
2016,Dunboyne,2356
2016,Buncrana,785
2016,Donabate,2585
2016,Clane,2377
2016,Ballinasloe,775
2016,Bandon,1506
2016,Fermoy,1490
2016,Newcastle West,1326
2016,Westport,675
2016,Carrick-on-Suir,884
2016,Kells (Ceanannas),1403
2016,Birr,660
2016,Kinsealy-Drinan,2816
2016,Passage West,1918
2016,Roscommon,755
2016,Kilcock,2143
2016,Roscrea,824
2016,Tipperary,577
2016,Sallins,2235
2016,Loughrea,1090
2016,Blessington,1567
2016,Ardee,939
2016,Carrickmacross,949
2016,Kinsale,936
2016,Ballybofey-Stranorlar,650
2016,Listowel,594
2016,Oranmore,2007
2016,Mountmellick,873
2016,Clonakilty,750
2016,Carrigtwohill,1818
2016,Cashel,779
2016,Kilcoole,1326
2016,Duleek,1101
2016,Carrick-on-Shannon,544
2016,Tullow,932
2016,Athenry,1233
2016,Dunshaughlin,1296
2016,Macroom,768
2016,Monasterevin,980
2016,Mitchelstown,653
2016,Rathluirc (or Charleville),645
2016,Castleblayney,649
2016,Cahir,819
2016,Kilcullen,1103
2016,Rathcoole,1503
2016,Claremorris,870
2016,Bantry,281
2016,Tower,1101
2016,Clara,677
2016,Stamullen,1155
2016,Kill,1228
2016,Rathnew,860
2016,Muinebeag,441
2016,Enfield,1038
2016,Courtown Harbour,727
2016,Annacotty,1078
2016,Moate,725
2016,Ballinrobe,599
2016,Kilrush,245
2016,Skibbereen,328
2016,Kinnegad,691
2016,Newcastle,1061
2016,Gort,512
2016,Donegal,380
2016,Boyle,335
2016,Ballyjamesduff,637
2016,Carndonagh,276
2016,Bailieborough,486
2016,Castleisland,397
2016,Sixmilebridge,884
2016,Ballyshannon,304
2016,Ballina (North Tipperary),772
2016,Blarney,724
2016,Newtownmountkennedy,781
2016,Athboy,613
2016,Rathangan,704
2016,Callan,529
2016,Kingscourt,594
2016,Ballyhaunis,298
2016,Virginia,623
2016,Thomastown,570
2016,Kanturk,534
2016,Prosperous,619
2016,Kenmare,274
2016,Saggart,1223
2016,Bundoran,276
2016,Cootehill,374
2016,Crosshaven,715
2016,Killorglin,331
2016,Templemore,257
2016,Baltinglass,411
2016,Clifden,97
2016,Bunclody-Carrickduff,323
2016,Abbeyfeale,255
2016,Clogherhead,589
2016,Castlerea,274
2016,An Daingean,124
2016,Castleconnell,612
2016,Bearna,642
2016,Balrothery,674
2016,Abbeyleix,367
2016,Ballaghaderreen,439
2016,Enniskerry,499
2016,Newport,568
2016,Dunleer,458
2016,Newmarket-on-Fergus,585
2016,Clones,274
2016,Tubbercurry,363
2016,Edgeworthstown,301
2016,Ballivor,428
2016,Castlebridge,566
2016,Portlaw,437
2016,Mountrath,309
2016,Lifford,231
2016,Banagher,316
2016,Kilmallock,242
2016,Strandhill,569
2016,Rathdrum,301
2016,Dunmanway,268
2016,Millstreet,385
2016,Ballymahon,416
2016,Cloyne,547
2016,Dunmore East,209
2016,Moycullen,507
2016,Rosslare,255
2016,Derrinturn,404
2016,Fethard,317
2016,Ballymote,305
2016,Rathcormac,623
2016,Collooney,442
2016,Castlemartyr,484
2016,Tullyallen,519
2016,Longwood,509
2016,Termonfeckin,452
2016,Convoy,300
2016,Castlecomer-Donaguile,301
