year,towns_suburbs,value
2016,Dublin City and suburbs,130447
2016,Cork City and suburbs,41433
2016,Limerick City and suburbs,22716
2016,Galway City and suburbs,22105
2016,Waterford City and suburbs,11274
2016,"Towns 1,500 population and over",516836
2016,Drogheda,6144
2016,Dundalk,6077
2016,Swords,11210
2016,Bray,5074
2016,Navan (An Uaimh),5074
2016,Ennis,5475
2016,Kilkenny,7828
2016,Tralee,7450
2016,Carlow,4396
2016,Droichead Nua,4030
2016,Naas,8115
2016,Athlone,8178
2016,Portlaoise,5228
2016,Mullingar,5049
2016,Wexford,7270
2016,Balbriggan,2038
2016,Letterkenny,6677
2016,Celbridge,1257
2016,Sligo,8632
2016,Clonmel,4016
2016,Greystones,1230
2016,Malahide,1325
2016,Leixlip,4842
2016,Carrigaline,920
2016,Tullamore,5603
2016,Killarney,4316
2016,Arklow,1393
2016,Maynooth,4000
2016,Cobh,454
2016,Castlebar,6417
2016,Midleton,2547
2016,Mallow,2314
2016,Ashbourne,1169
2016,Ballina,3022
2016,Laytown-Bettystown-Mornington,326
2016,Enniscorthy,2690
2016,Wicklow,1448
2016,Tramore,656
2016,Cavan,3804
2016,Athy,1242
2016,Shannon,3133
2016,Skerries,743
2016,Longford,3652
2016,Dungarvan,1881
2016,Portmarnock,553
2016,Rush,420
2016,Gorey,2156
2016,Ratoath,530
2016,Nenagh,2861
2016,Trim,1581
2016,Tuam,2467
2016,New Ross,1905
2016,Kildare,1464
2016,Thurles,2205
2016,Youghal,708
2016,Portarlington,771
2016,Monaghan,2553
2016,Lusk,306
2016,Edenderry,868
2016,Dunboyne,830
2016,Buncrana,961
2016,Donabate,422
2016,Clane,873
2016,Ballinasloe,2065
2016,Bandon,1486
2016,Fermoy,1486
2016,Newcastle West,1663
2016,Westport,2688
2016,Carrick-on-Suir,674
2016,Kells (Ceanannas),1084
2016,Birr,970
2016,Kinsealy-Drinan,503
2016,Passage West,197
2016,Roscommon,2854
2016,Kilcock,566
2016,Roscrea,1116
2016,Tipperary,1426
2016,Sallins,276
2016,Loughrea,1499
2016,Blessington,663
2016,Ardee,1196
2016,Carrickmacross,1212
2016,Kinsale,960
2016,Ballybofey-Stranorlar,1253
2016,Listowel,1329
2016,Oranmore,849
2016,Mountmellick,570
2016,Clonakilty,1575
2016,Carrigtwohill,757
2016,Cashel,1199
2016,Kilcoole,713
2016,Duleek,344
2016,Carrick-on-Shannon,2051
2016,Tullow,764
2016,Athenry,1072
2016,Dunshaughlin,758
2016,Macroom,1052
2016,Monasterevin,694
2016,Mitchelstown,1006
2016,Rathluirc (or Charleville),1723
2016,Castleblayney,1131
2016,Cahir,886
2016,Kilcullen,709
2016,Rathcoole,678
2016,Claremorris,961
2016,Bantry,1239
2016,Tower,197
2016,Clara,288
2016,Stamullen,317
2016,Kill,209
2016,Rathnew,458
2016,Muinebeag,1089
2016,Enfield,331
2016,Courtown Harbour,171
2016,Annacotty,721
2016,Moate,367
2016,Ballinrobe,732
2016,Kilrush,823
2016,Skibbereen,1104
2016,Kinnegad,276
2016,Newcastle,209
2016,Gort,765
2016,Donegal,1250
2016,Boyle,709
2016,Ballyjamesduff,316
2016,Carndonagh,758
2016,Bailieborough,489
2016,Castleisland,971
2016,Sixmilebridge,136
2016,Ballyshannon,597
2016,Ballina (North Tipperary),139
2016,Blarney,520
2016,Newtownmountkennedy,757
2016,Athboy,338
2016,Rathangan,282
2016,Callan,610
2016,Kingscourt,387
2016,Ballyhaunis,845
2016,Virginia,442
2016,Thomastown,412
2016,Kanturk,573
2016,Prosperous,210
2016,Kenmare,570
2016,Saggart,231
2016,Bundoran,335
2016,Cootehill,676
2016,Crosshaven,171
2016,Killorglin,1641
2016,Templemore,821
2016,Baltinglass,447
2016,Clifden,477
2016,Bunclody-Carrickduff,476
2016,Abbeyfeale,1091
2016,Clogherhead,71
2016,Castlerea,669
2016,An Daingean,775
2016,Castleconnell,154
2016,Bearna,274
2016,Balrothery,105
2016,Abbeyleix,366
2016,Ballaghaderreen,126
2016,Enniskerry,148
2016,Newport,241
2016,Dunleer,669
2016,Newmarket-on-Fergus,117
2016,Clones,261
2016,Tubbercurry,430
2016,Edgeworthstown,324
2016,Ballivor,78
2016,Castlebridge,131
2016,Portlaw,89
2016,Mountrath,263
2016,Lifford,659
2016,Banagher,303
2016,Kilmallock,546
2016,Strandhill,179
2016,Rathdrum,322
2016,Dunmanway,548
2016,Millstreet,423
2016,Ballymahon,458
2016,Cloyne,82
2016,Dunmore East,608
2016,Moycullen,264
2016,Rosslare,208
2016,Derrinturn,113
2016,Fethard,367
2016,Ballymote,380
2016,Rathcormac,84
2016,Collooney,567
2016,Castlemartyr,248
2016,Tullyallen,97
2016,Longwood,68
2016,Termonfeckin,138
2016,Convoy,182
2016,Castlecomer-Donaguile,316
2016,Dublin City and suburbs,512449
2016,Cork City and suburbs,102139
2016,Limerick City and suburbs,44624
2016,Galway City and suburbs,44376
2016,Waterford City and suburbs,24375
2016,"Towns 1,500 population and over",1185346
2016,Drogheda,12361
2016,Dundalk,14164
2016,Swords,15338
2016,Bray,8763
2016,Navan (An Uaimh),8970
2016,Ennis,10171
2016,Kilkenny,13738
2016,Tralee,12517
2016,Carlow,7868
2016,Droichead Nua,6526
2016,Naas,10999
2016,Athlone,13108
2016,Portlaoise,8410
2016,Mullingar,8633
2016,Wexford,11961
2016,Balbriggan,3436
2016,Letterkenny,11395
2016,Celbridge,2339
2016,Sligo,13024
2016,Clonmel,7036
2016,Greystones,2514
2016,Malahide,2259
2016,Leixlip,5825
2016,Carrigaline,1849
2016,Tullamore,8259
2016,Killarney,7109
2016,Arklow,3040
2016,Maynooth,5201
2016,Cobh,1432
2016,Castlebar,9045
2016,Midleton,3871
2016,Mallow,3775
2016,Ashbourne,1963
2016,Ballina,4810
2016,Laytown-Bettystown-Mornington,771
2016,Enniscorthy,4140
2016,Wicklow,2637
2016,Tramore,1628
2016,Cavan,5432
2016,Athy,2147
2016,Shannon,4484
2016,Skerries,1433
2016,Longford,5050
2016,Dungarvan,3267
2016,Portmarnock,946
2016,Rush,1063
2016,Gorey,3529
2016,Ratoath,922
2016,Nenagh,4357
2016,Trim,2501
2016,Tuam,3700
2016,New Ross,3125
2016,Kildare,2166
2016,Thurles,3396
2016,Youghal,1768
2016,Portarlington,1349
2016,Monaghan,3715
2016,Lusk,570
2016,Edenderry,1743
2016,Dunboyne,1211
2016,Buncrana,1988
2016,Donabate,732
2016,Clane,1264
2016,Ballinasloe,3045
2016,Bandon,2334
2016,Fermoy,2168
2016,Newcastle West,2413
2016,Westport,4142
2016,Carrick-on-Suir,1217
2016,Kells (Ceanannas),1543
2016,Birr,1524
2016,Kinsealy-Drinan,652
2016,Passage West,446
2016,Roscommon,3917
2016,Kilcock,848
2016,Roscrea,1798
2016,Tipperary,2110
2016,Sallins,418
2016,Loughrea,2225
2016,Blessington,1125
2016,Ardee,1706
2016,Carrickmacross,1962
2016,Kinsale,1737
2016,Ballybofey-Stranorlar,1878
2016,Listowel,2029
2016,Oranmore,1134
2016,Mountmellick,915
2016,Clonakilty,2376
2016,Carrigtwohill,931
2016,Cashel,1818
2016,Kilcoole,946
2016,Duleek,501
2016,Carrick-on-Shannon,2868
2016,Tullow,1236
2016,Athenry,1450
2016,Dunshaughlin,998
2016,Macroom,1548
2016,Monasterevin,956
2016,Mitchelstown,1480
2016,Rathluirc (or Charleville),2249
2016,Castleblayney,1502
2016,Cahir,1219
2016,Kilcullen,907
2016,Rathcoole,897
2016,Claremorris,1411
2016,Bantry,1748
2016,Tower,296
2016,Clara,525
2016,Stamullen,425
2016,Kill,306
2016,Rathnew,575
2016,Muinebeag,1481
2016,Enfield,469
2016,Courtown Harbour,310
2016,Annacotty,846
2016,Moate,559
2016,Ballinrobe,1077
2016,Kilrush,1198
2016,Skibbereen,1580
2016,Kinnegad,398
2016,Newcastle,310
2016,Gort,1127
2016,Donegal,1673
2016,Boyle,1049
2016,Ballyjamesduff,453
2016,Carndonagh,1062
2016,Bailieborough,715
2016,Castleisland,1351
2016,Sixmilebridge,226
2016,Ballyshannon,875
2016,Ballina (North Tipperary),311
2016,Blarney,672
2016,Newtownmountkennedy,916
2016,Athboy,489
2016,Rathangan,448
2016,Callan,889
2016,Kingscourt,602
2016,Ballyhaunis,1226
2016,Virginia,640
2016,Thomastown,633
2016,Kanturk,829
2016,Prosperous,307
2016,Kenmare,1003
2016,Saggart,308
2016,Bundoran,588
2016,Cootehill,902
2016,Crosshaven,321
2016,Killorglin,2038
2016,Templemore,1094
2016,Baltinglass,629
2016,Clifden,856
2016,Bunclody-Carrickduff,646
2016,Abbeyfeale,1354
2016,Clogherhead,150
2016,Castlerea,918
2016,An Daingean,1313
2016,Castleconnell,246
2016,Bearna,388
2016,Balrothery,148
2016,Abbeyleix,501
2016,Ballaghaderreen,267
2016,Enniskerry,241
2016,Newport,331
2016,Dunleer,822
2016,Newmarket-on-Fergus,207
2016,Clones,415
2016,Tubbercurry,627
2016,Edgeworthstown,502
2016,Ballivor,155
2016,Castlebridge,190
2016,Portlaw,148
2016,Mountrath,367
2016,Lifford,766
2016,Banagher,520
2016,Kilmallock,722
2016,Strandhill,281
2016,Rathdrum,465
2016,Dunmanway,758
2016,Millstreet,601
2016,Ballymahon,586
2016,Cloyne,136
2016,Dunmore East,807
2016,Moycullen,399
2016,Rosslare,354
2016,Derrinturn,184
2016,Fethard,481
2016,Ballymote,508
2016,Rathcormac,129
2016,Collooney,672
2016,Castlemartyr,303
2016,Tullyallen,138
2016,Longwood,102
2016,Termonfeckin,204
2016,Convoy,250
2016,Castlecomer-Donaguile,424
2016,Dublin City and suburbs,90095
2016,Cork City and suburbs,29392
2016,Limerick City and suburbs,16081
2016,Galway City and suburbs,16540
2016,Waterford City and suburbs,7765
2016,"Towns 1,500 population and over",167208
2016,Drogheda,-701
2016,Dundalk,2570
2016,Swords,-692
2016,Bray,-2655
2016,Navan (An Uaimh),-853
2016,Ennis,1699
2016,Kilkenny,4679
2016,Tralee,5892
2016,Carlow,1103
2016,Droichead Nua,-1337
2016,Naas,2483
2016,Athlone,6499
2016,Portlaoise,2019
2016,Mullingar,2241
2016,Wexford,5575
2016,Balbriggan,-3297
2016,Letterkenny,4973
2016,Celbridge,-5598
2016,Sligo,7360
2016,Clonmel,1483
2016,Greystones,-4147
2016,Malahide,-4030
2016,Leixlip,-224
2016,Carrigaline,-4148
2016,Tullamore,3947
2016,Killarney,2732
2016,Arklow,-809
2016,Maynooth,-229
2016,Cobh,-2876
2016,Castlebar,5105
2016,Midleton,-415
2016,Mallow,-89
2016,Ashbourne,-2997
2016,Ballina,1843
2016,Laytown-Bettystown-Mornington,-3044
2016,Enniscorthy,1144
2016,Wicklow,-987
2016,Tramore,-1692
2016,Cavan,2239
2016,Athy,-289
2016,Shannon,914
2016,Skerries,-2147
2016,Longford,2616
2016,Dungarvan,566
2016,Portmarnock,-2536
2016,Rush,-2497
2016,Gorey,530
2016,Ratoath,-2663
2016,Nenagh,1642
2016,Trim,-532
2016,Tuam,1066
2016,New Ross,818
2016,Kildare,-641
2016,Thurles,1142
2016,Youghal,-568
2016,Portarlington,-1113
2016,Monaghan,1095
2016,Lusk,-2365
2016,Edenderry,-419
2016,Dunboyne,-1526
2016,Buncrana,176
2016,Donabate,-2163
2016,Clane,-1504
2016,Ballinasloe,1290
2016,Bandon,-20
2016,Fermoy,-4
2016,Newcastle West,337
2016,Westport,2013
2016,Carrick-on-Suir,-210
2016,Kells (Ceanannas),-319
2016,Birr,310
2016,Kinsealy-Drinan,-2313
2016,Passage West,-1721
2016,Roscommon,2099
2016,Kilcock,-1577
2016,Roscrea,292
2016,Tipperary,849
2016,Sallins,-1959
2016,Loughrea,409
2016,Blessington,-904
2016,Ardee,257
2016,Carrickmacross,263
2016,Kinsale,24
2016,Ballybofey-Stranorlar,603
2016,Listowel,735
2016,Oranmore,-1158
2016,Mountmellick,-303
2016,Clonakilty,825
2016,Carrigtwohill,-1061
2016,Cashel,420
2016,Kilcoole,-613
2016,Duleek,-757
2016,Carrick-on-Shannon,1507
2016,Tullow,-168
2016,Athenry,-161
2016,Dunshaughlin,-538
2016,Macroom,284
2016,Monasterevin,-286
2016,Mitchelstown,353
2016,Rathluirc (or Charleville),1078
2016,Castleblayney,482
2016,Cahir,67
2016,Kilcullen,-394
2016,Rathcoole,-825
2016,Claremorris,91
2016,Bantry,958
2016,Tower,-904
2016,Clara,-389
2016,Stamullen,-838
2016,Kill,-1019
2016,Rathnew,-402
2016,Muinebeag,648
2016,Enfield,-707
2016,Courtown Harbour,-556
2016,Annacotty,-357
2016,Moate,-358
2016,Ballinrobe,133
2016,Kilrush,578
2016,Skibbereen,776
2016,Kinnegad,-415
2016,Newcastle,-852
2016,Gort,253
2016,Donegal,870
2016,Boyle,374
2016,Ballyjamesduff,-321
2016,Carndonagh,482
2016,Bailieborough,3
2016,Castleisland,574
2016,Sixmilebridge,-748
2016,Ballyshannon,293
2016,Ballina (North Tipperary),-633
2016,Blarney,-204
2016,Newtownmountkennedy,-24
2016,Athboy,-275
2016,Rathangan,-422
2016,Callan,81
2016,Kingscourt,-207
2016,Ballyhaunis,547
2016,Virginia,-181
2016,Thomastown,-158
2016,Kanturk,39
2016,Prosperous,-409
2016,Kenmare,296
2016,Saggart,-992
2016,Bundoran,59
2016,Cootehill,302
2016,Crosshaven,-544
2016,Killorglin,1310
2016,Templemore,564
2016,Baltinglass,36
2016,Clifden,380
2016,Bunclody-Carrickduff,153
2016,Abbeyfeale,836
2016,Clogherhead,-518
2016,Castlerea,395
2016,An Daingean,651
2016,Castleconnell,-458
2016,Bearna,-368
2016,Balrothery,-569
2016,Abbeyleix,-1
2016,Ballaghaderreen,-313
2016,Enniskerry,-351
2016,Newport,-327
2016,Dunleer,211
2016,Newmarket-on-Fergus,-468
2016,Clones,-13
2016,Tubbercurry,67
2016,Edgeworthstown,23
2016,Ballivor,-350
2016,Castlebridge,-435
2016,Portlaw,-348
2016,Mountrath,-46
2016,Lifford,428
2016,Banagher,-13
2016,Kilmallock,304
2016,Strandhill,-390
2016,Rathdrum,21
2016,Dunmanway,280
2016,Millstreet,38
2016,Ballymahon,42
2016,Cloyne,-465
2016,Dunmore East,399
2016,Moycullen,-243
2016,Rosslare,-47
2016,Derrinturn,-291
2016,Fethard,50
2016,Ballymote,75
2016,Rathcormac,-539
2016,Collooney,125
2016,Castlemartyr,-236
2016,Tullyallen,-422
2016,Longwood,-441
2016,Termonfeckin,-314
2016,Convoy,-118
2016,Castlecomer-Donaguile,15
